Year,Month,State,Location,Activity,Species,Provoked,InjuryLevel,HeadInjury,ArmInjury,LegInjury,TorsoInjury
2016,9,VIC,beach,surfing,other,0,0,0,0,1,1
2016,9,VIC,beach,surfing,other,0,0,0,0,0,0
2016,9,WA,other,fishing,other,0,0,0,0,0,0
2016,9,WA,other,surfing,other,0,0,0,0,0,0
2016,7,WA,other,boating,white shark,0,0,0,0,0,0
2016,7,NSW,beach,surfing,other,0,0,0,0,1,0
2016,7,TAS,beach,surfing,other,0,0,0,0,1,0
2016,7,QLD,other,fishing,other,1,2,0,0,1,0
2016,7,QLD,other,fishing,other,1,0,0,0,0,0
2016,6,WA,bay,diving,other,1,0,1,0,0,0
2016,6,WA,other,diving,other,0,4,0,0,0,0
2016,6,NSW,other,diving,bronze whaler shark,0,0,0,0,0,0
2016,5,WA,beach,surfing,white shark,0,4,0,0,0,0
2016,4,NSW,beach,swimming,wobbegong shark,0,3,0,0,1,0
2016,3,NSW,beach,surfing,other,0,3,0,0,0,0
2016,3,NSW,beach,surfing,other,0,0,0,0,0,0
2016,3,SA,bay,fishing,other,0,3,0,0,1,0
2016,2,QLD,island,other,other,0,0,0,0,1,0
2016,2,NSW,beach,surfing,other,0,0,0,0,0,0
2016,1,QLD,beach,surfing,wobbegong shark,0,2,0,0,1,0
2016,1,QLD,island,other,other,0,2,0,0,1,0
2016,1,QLD,island,diving,other,0,2,0,1,1,0
2015,12,NSW,beach,surfing,bronze whaler shark,0,0,0,0,0,0
2015,12,NSW,other,fishing,white shark,0,0,0,0,0,0
2015,11,NSW,other,surfing,bull shark,0,0,0,0,0,0
2015,10,WA,island,diving,other,0,1,0,0,0,0
2015,10,WA,beach,surfing,other,0,0,0,0,1,0
2015,9,QLD,island,snorkeling,other,0,2,0,0,1,0
2015,9,NSW,beach,surfing,other,0,2,0,1,0,0
2015,9,NSW,other,surfing,white shark,0,0,0,0,1,0
2015,8,NSW,beach,surfing,other,0,3,0,0,1,0
2015,7,NSW,other,surfing,white shark,0,3,0,1,1,0
2015,7,TAS,island,diving,white shark,0,4,0,0,0,0
2015,7,VIC,beach,surfing,bronze whaler shark,0,2,0,1,0,0
2015,7,NSW,other,surfing,white shark,0,0,0,0,0,0
2015,7,NSW,other,boarding,white shark,0,3,0,0,1,0
2015,6,NSW,other,surfing,other,0,2,0,1,0,0
2015,6,WA,island,swimming,wobbegong shark,1,2,1,1,0,0
2015,5,NSW,beach,surfing,white shark,0,0,0,1,0,0
2015,4,SA,bay,surfing,white shark,0,3,0,0,1,0
2015,6,NSW,beach,surfing,white shark,0,0,0,0,0,0
2015,4,NSW,beach,boarding,other,0,0,0,0,1,0
2015,3,NSW,bay,fishing,other,0,1,0,0,0,0
2015,2,NSW,beach,surfing,other,0,4,0,0,0,0
2015,2,NSW,beach,surfing,other,0,3,0,0,1,0
2015,2,NSW,beach,surfing,other,0,3,0,0,1,0
2015,1,QLD,river,boating,bull shark,0,0,0,0,0,0
2015,1,NSW,other,surfing,other,0,0,0,0,0,0
2015,1,NSW,beach,fishing,other,0,0,0,0,0,0
2015,1,NSW,beach,other,other,0,2,0,1,0,0
2014,12,NSW,beach,surfing,other,0,2,0,0,1,0
2014,12,WA,beach,diving,white shark,0,4,0,0,0,0
2014,12,VIC,beach,fishing,other,1,2,0,0,1,0
2014,12,QLD,reef,diving,other,0,4,0,0,0,0
2014,11,WA,beach,surfing,other,0,1,0,0,1,0
2014,11,WA,other,fishing,white shark,0,0,0,0,0,0
2014,11,NSW,beach,surfing,other,0,1,0,0,1,0
2014,10,NSW,other,surfing,other,1,2,0,0,1,0
2014,10,NSW,beach,surfing,other,0,3,0,0,1,0
2014,10,WA,other,boating,other,0,0,0,0,0,0
2014,10,WA,beach,surfing,white shark,0,3,0,1,1,0
2014,9,NSW,beach,swimming,other,0,4,0,0,0,0
2014,8,WA,other,diving,other,0,2,1,0,0,0
2014,6,SA,other,surfing,other,0,0,0,0,0,0
2014,6,SA,other,boarding,other,0,2,0,0,1,0
2014,6,WA,other,other,other,1,2,0,1,0,0
2014,6,SA,beach,boarding,bronze whaler shark,0,1,0,0,0,1
2014,6,NSW,beach,surfing,other,0,3,0,0,1,0
2014,5,QLD,island,other,bull shark,0,2,0,0,1,0
2014,5,NSW,other,other,other,1,0,0,1,0,0
2014,5,SA,other,surfing,white shark,0,0,0,0,0,0
2014,4,WA,bay,diving,other,0,1,0,0,0,0
2014,4,NSW,other,swimming,white shark,0,4,0,0,0,0
2014,3,VIC,beach,surfing,other,0,0,0,0,0,0
2014,3,NSW,beach,swimming,wobbegong shark,0,2,0,0,1,0
2014,2,SA,beach,diving,other,0,4,0,0,0,0
2014,1,NSW,beach,fishing,other,1,2,0,1,0,0
2013,12,NSW,beach,surfing,wobbegong shark,0,3,0,1,1,0
2013,11,NSW,beach,boarding,tiger shark,0,4,0,0,0,0
2013,11,WA,other,surfing,white shark,0,4,0,0,0,0
2013,11,WA,beach,surfing,white shark,0,0,0,0,0,0
2013,10,WA,bay,snorkeling,other,0,2,0,1,0,0
2013,10,WA,island,diving,white shark,0,0,0,0,0,0
2013,10,NSW,beach,surfing,wobbegong shark,0,0,0,0,1,0
2013,10,WA,other,diving,white shark,0,0,1,0,0,1
2013,8,NSW,other,other,other,0,2,1,1,0,0
